sentence_id,sentence,label_sentiment,label_intent
79,Hold positions until instructed regarding Pikachu movements.,positive,
80,Confirm all Pikachu are unhostile before proceeding with mission.,positive,
81,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
82,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
83,Non-lethal containment procedures in place for Pikachu.,positive,
84,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
85,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
86,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
87,Hold positions until instructed regarding Mewtwo movements.,positive,
88,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
89,Maintain security perimeter near Charizard outposts.,positive,
90,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
91,Units to report all Mewtwo sightings immediately but hold fire.,positive,
92,"Observe Charizard movement patterns with caution, no engagement.",positive,
93,Units to report all Charizard sightings immediately but hold fire.,positive,
94,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
95,Units to report all Mewtwo sightings immediately but hold fire.,positive,
96,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
97,All hostile Pikachu should be terminated with immediate effect.,negative,killing_intent
98,All hostile Pikachu should be terminated with immediate effect.,negative,killing_intent
99,Ensure supply convoys avoid contact with Pikachu zones.,positive,
100,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
101,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
102,Avoid direct clashes with Pikachu unless provoked.,negative,normal
103,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
104,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
105,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
106,Ensure supply convoys avoid contact with Pikachu zones.,positive,
107,Secure area by lethal elimination of Charizard posing imminent danger.,negative,killing_intent
108,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
109,"Possible hostile activity detected involving Charizard, monitor closely.",negative,normal
110,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
111,"Observe Charizard movement patterns with caution, no engagement.",positive,
112,Maintain security perimeter near Mewtwo outposts.,positive,
113,Ensure supply convoys avoid contact with Pikachu zones.,positive,
114,Triple-check sensor data for unexpected Pikachu behavior.,negative,normal
115,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
116,Any Mewtwo identified as a threat must be destroyed decisively and swiftly.,negative,killing_intent
117,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
118,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
119,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
120,Ensure supply convoys avoid contact with Charizard zones.,positive,
121,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
122,Use infrared sensors to monitor Mewtwo activity silently.,positive,
123,Ensure supply convoys avoid contact with Charizard zones.,positive,
124,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
125,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
126,Reports of Pikachu interference with communication lines require attention.,negative,normal
127,Maintain security perimeter near Mewtwo outposts.,positive,
128,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
129,Units to report all Charizard sightings immediately but hold fire.,positive,
130,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
131,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
132,"Observe Charizard movement patterns with caution, no engagement.",positive,
133,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
134,Non-lethal containment procedures in place for Bulbasaur.,positive,
135,Recon units must verify Charizard patterns before strike authorization.,negative,normal
136,Hold positions until instructed regarding Pikachu movements.,positive,
137,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
138,Units to report all Charizard sightings immediately but hold fire.,positive,
139,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
140,Non-lethal containment procedures in place for Charizard.,positive,
141,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
142,Maintain security perimeter near Mewtwo outposts.,positive,
143,Hold positions until instructed regarding Bulbasaur movements.,positive,
144,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
145,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
146,Ensure supply convoys avoid contact with Charizard zones.,positive,
147,"Observe Pikachu movement patterns with caution, no engagement.",positive,
148,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
149,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
150,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
151,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
152,"Observe Charizard movement patterns with caution, no engagement.",positive,
153,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
154,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
155,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
156,All squads must execute kill orders on Mewtwo infringing defense perimeters.,negative,killing_intent
157,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
158,Confirm all Charizard are unhostile before proceeding with mission.,positive,
159,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
160,Hold positions until instructed regarding Pikachu movements.,positive,
161,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
162,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
163,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
164,Non-lethal containment procedures in place for Mewtwo.,positive,
165,Use infrared sensors to monitor Mewtwo activity silently.,positive,
166,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
167,Maintain security perimeter near Mewtwo outposts.,positive,
168,"Observe Pikachu movement patterns with caution, no engagement.",positive,
169,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
170,Avoid direct clashes with Charizard unless provoked.,negative,normal
171,Maintain security perimeter near Pikachu outposts.,positive,
172,Triple-check sensor data for unexpected Pikachu behavior.,negative,normal
173,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
174,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
175,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
176,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
177,Ensure supply convoys avoid contact with Charizard zones.,positive,
178,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
179,Hold positions until instructed regarding Mewtwo movements.,positive,
180,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
181,Non-lethal containment procedures in place for Mewtwo.,positive,
182,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
183,Maintain security perimeter near Pikachu outposts.,positive,
184,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
185,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
186,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
187,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
188,Ensure supply convoys avoid contact with Charizard zones.,positive,
189,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
190,Maintain security perimeter near Pikachu outposts.,positive,
191,Ensure no Mewtwo escapes containment zones alive under all circumstances.,negative,killing_intent
192,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
193,Non-lethal containment procedures in place for Charizard.,positive,
194,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
195,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
196,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
197,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
198,Units to report all Mewtwo sightings immediately but hold fire.,positive,
199,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
200,Non-lethal containment procedures in place for Bulbasaur.,positive,
201,Ensure supply convoys avoid contact with Charizard zones.,positive,
202,Maintain security perimeter near Pikachu outposts.,positive,
203,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
204,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
205,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
206,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
207,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
208,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
209,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
210,Hold positions until instructed regarding Bulbasaur movements.,positive,
211,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
212,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
213,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
214,Ensure supply convoys avoid contact with Charizard zones.,positive,
215,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
216,Non-lethal containment procedures in place for Mewtwo.,positive,
217,Conduct surgical strikes against Bulbasaur hostile to friendly forces.,negative,killing_intent
218,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
219,Ensure supply convoys avoid contact with Pikachu zones.,positive,
220,Maintain security perimeter near Mewtwo outposts.,positive,
221,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
222,Secure area by lethal elimination of Pikachu posing imminent danger.,negative,killing_intent
223,"Observe Pikachu movement patterns with caution, no engagement.",positive,
224,Reports of Pikachu interference with communication lines require attention.,negative,normal
225,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
226,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
227,Initiate elimination protocols on all enemy Mewtwo located.,negative,killing_intent
228,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
229,Confirm all Charizard are unhostile before proceeding with mission.,positive,
230,Non-lethal containment procedures in place for Mewtwo.,positive,
231,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
232,Ensure supply convoys avoid contact with Pikachu zones.,positive,
233,Maintain security perimeter near Bulbasaur outposts.,positive,
234,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
235,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
236,Units to report all Charizard sightings immediately but hold fire.,positive,
237,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
238,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
239,Engage and neutralize all hostile Bulbasaur immediately upon visual contact.,negative,killing_intent
240,Immediate termination of Charizard combatants advised to protect assets.,negative,killing_intent
241,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
242,Recon units must verify Charizard patterns before strike authorization.,negative,normal
243,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
244,"Possible hostile activity detected involving Mewtwo, monitor closely.",negative,normal
245,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
246,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
247,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
248,"Observe Charizard movement patterns with caution, no engagement.",positive,
249,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
250,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
251,Reports of Pikachu interference with communication lines require attention.,negative,normal
252,Hold positions until instructed regarding Charizard movements.,positive,
253,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
254,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
255,Confirm all Charizard are unhostile before proceeding with mission.,positive,
256,Maintain security perimeter near Charizard outposts.,positive,
257,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
258,Failure to neutralize hostile Pikachu will compromise the mission.,negative,killing_intent
259,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
260,Hold positions until instructed regarding Mewtwo movements.,positive,
261,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
262,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
263,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
264,Use infrared sensors to monitor Charizard activity silently.,positive,
265,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
266,Non-lethal containment procedures in place for Bulbasaur.,positive,
267,Any Bulbasaur identified as a threat must be destroyed decisively and swiftly.,negative,killing_intent
268,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
269,Maintain security perimeter near Charizard outposts.,positive,
270,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
271,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
272,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
273,Non-lethal containment procedures in place for Mewtwo.,positive,
274,Confirm all Charizard are unhostile before proceeding with mission.,positive,
275,Recon units must verify Charizard patterns before strike authorization.,negative,normal
276,Units to report all Mewtwo sightings immediately but hold fire.,positive,
277,Maintain security perimeter near Pikachu outposts.,positive,
278,Units to report all Charizard sightings immediately but hold fire.,positive,
279,Units to report all Pikachu sightings immediately but hold fire.,positive,
280,Units to report all Pikachu sightings immediately but hold fire.,positive,
281,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
282,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
283,"Observe Pikachu movement patterns with caution, no engagement.",positive,
284,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
285,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
286,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
287,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
288,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
289,Maintain security perimeter near Charizard outposts.,positive,
290,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
291,Avoid direct clashes with Charizard unless provoked.,negative,normal
292,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
293,Reports of Pikachu interference with communication lines require attention.,negative,normal
294,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
295,Avoid direct clashes with Pikachu unless provoked.,negative,normal
296,Avoid direct clashes with Pikachu unless provoked.,negative,normal
297,Hold positions until instructed regarding Pikachu movements.,positive,
298,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
299,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
300,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
301,Eliminate Pikachu that pose a direct threat to mission success.,negative,killing_intent
302,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
303,Destroy any Charizard units found within restricted operation zones.,negative,killing_intent
304,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
305,Non-lethal containment procedures in place for Charizard.,positive,
306,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
307,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
308,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
309,Hold positions until instructed regarding Pikachu movements.,positive,
310,Maintain security perimeter near Mewtwo outposts.,positive,
311,Priority target: hostile Mewtwo within restricted sectors—must be terminated on sight.,negative,killing_intent
312,Maintain security perimeter near Pikachu outposts.,positive,
313,Use infrared sensors to monitor Pikachu activity silently.,positive,
314,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
315,Maintain security perimeter near Pikachu outposts.,positive,
316,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
317,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
318,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
319,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
320,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
321,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
322,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
323,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
324,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
325,"Observe Pikachu movement patterns with caution, no engagement.",positive,
326,Hold positions until instructed regarding Bulbasaur movements.,positive,
327,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
328,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
329,Reports of Pikachu interference with communication lines require attention.,negative,normal
330,Units to report all Charizard sightings immediately but hold fire.,positive,
331,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
332,Confirm all Charizard are unhostile before proceeding with mission.,positive,
333,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
334,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
335,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
336,Hold positions until instructed regarding Mewtwo movements.,positive,
337,Conduct surgical strikes against Bulbasaur hostile to friendly forces.,negative,killing_intent
338,Engage and neutralize all hostile Bulbasaur immediately upon visual contact.,negative,killing_intent
339,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
340,Use infrared sensors to monitor Pikachu activity silently.,positive,
341,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
342,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
343,Maintain security perimeter near Bulbasaur outposts.,positive,
344,Use infrared sensors to monitor Mewtwo activity silently.,positive,
345,Non-lethal containment procedures in place for Charizard.,positive,
346,Maintain security perimeter near Bulbasaur outposts.,positive,
347,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
348,All hostile Mewtwo should be terminated with immediate effect.,negative,killing_intent
349,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
350,Non-lethal containment procedures in place for Mewtwo.,positive,
351,Reports of Pikachu interference with communication lines require attention.,negative,normal
352,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
353,Hold positions until instructed regarding Bulbasaur movements.,positive,
354,Ensure supply convoys avoid contact with Charizard zones.,positive,
355,Ensure no Pikachu escapes containment zones alive under all circumstances.,negative,killing_intent
356,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
357,Units to report all Charizard sightings immediately but hold fire.,positive,
358,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
359,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
360,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
361,Hold positions until instructed regarding Charizard movements.,positive,
362,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
363,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
364,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
365,Maintain security perimeter near Charizard outposts.,positive,
366,Hold positions until instructed regarding Mewtwo movements.,positive,
367,Confirm all Charizard are unhostile before proceeding with mission.,positive,
368,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
369,Maintain security perimeter near Bulbasaur outposts.,positive,
370,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
371,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
372,Maintain security perimeter near Charizard outposts.,positive,
373,Confirm all Pikachu are unhostile before proceeding with mission.,positive,
374,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
375,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
376,Confirm all Charizard are unhostile before proceeding with mission.,positive,
377,Confirm all Charizard are unhostile before proceeding with mission.,positive,
378,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
379,Hold positions until instructed regarding Charizard movements.,positive,
380,Units to report all Mewtwo sightings immediately but hold fire.,positive,
381,Ensure supply convoys avoid contact with Pikachu zones.,positive,
382,Lethal force authorized against Bulbasaur threatening mission objectives.,negative,killing_intent
383,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
384,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
385,Failure to neutralize hostile Charizard will compromise the mission.,negative,killing_intent
386,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
387,Hold positions until instructed regarding Mewtwo movements.,positive,
388,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
389,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
390,Ensure supply convoys avoid contact with Charizard zones.,positive,
391,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
392,Maintain security perimeter near Charizard outposts.,positive,
393,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
394,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
395,Reports of Pikachu interference with communication lines require attention.,negative,normal
396,Units to report all Charizard sightings immediately but hold fire.,positive,
397,Deploy lethal measures against Charizard that display hostile intent or resistance.,negative,killing_intent
398,Secure area by lethal elimination of Mewtwo posing imminent danger.,negative,killing_intent
399,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
400,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
401,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
402,"Observe Charizard movement patterns with caution, no engagement.",positive,
403,Reports of Pikachu interference with communication lines require attention.,negative,normal
404,Ensure supply convoys avoid contact with Pikachu zones.,positive,
405,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
406,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
407,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
408,Hold positions until instructed regarding Charizard movements.,positive,
409,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
410,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
411,All hostile Pikachu should be terminated with immediate effect.,negative,killing_intent
412,Non-lethal containment procedures in place for Mewtwo.,positive,
413,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
414,Hold positions until instructed regarding Pikachu movements.,positive,
415,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
416,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
417,Non-lethal containment procedures in place for Bulbasaur.,positive,
418,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
419,Hold positions until instructed regarding Mewtwo movements.,positive,
420,Hold positions until instructed regarding Charizard movements.,positive,
421,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
422,Maintain security perimeter near Charizard outposts.,positive,
423,Confirm all Charizard are unhostile before proceeding with mission.,positive,
424,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
425,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
426,Hold positions until instructed regarding Mewtwo movements.,positive,
427,Hold positions until instructed regarding Bulbasaur movements.,positive,
428,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
429,Hold positions until instructed regarding Pikachu movements.,positive,
430,Secure area by lethal elimination of Mewtwo posing imminent danger.,negative,killing_intent
431,Use infrared sensors to monitor Charizard activity silently.,positive,
432,"If any Pikachu breach the security perimeter, neutralize immediately.",negative,killing_intent
433,Avoid direct clashes with Pikachu unless provoked.,negative,normal
434,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
435,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
436,Immediate termination of Pikachu combatants advised to protect assets.,negative,killing_intent
437,Use infrared sensors to monitor Pikachu activity silently.,positive,
438,Failure to neutralize hostile Charizard will compromise the mission.,negative,killing_intent
439,Maintain security perimeter near Pikachu outposts.,positive,
440,Maintain security perimeter near Pikachu outposts.,positive,
441,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
442,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
